codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,1865,1711,30,214,1824,1587,30,176
2800209,Aquidabã,17185,16261,210,2028,15627,12966,212,1663
2800308,Aracaju,541450,516038,12715,77549,514079,449283,12589,75903
2800407,Arauá,7678,7137,100,900,8418,6571,102,785
2800506,Areia Branca,14126,12890,185,1434,14437,12659,198,1055
2800605,Barra dos Coqueiros,23381,22173,845,3102,23952,18859,967,1857
2800670,Boquim,21302,19697,255,2953,19133,17096,252,2478
2800704,Brejo Grande,6076,5516,75,506,6063,4546,75,336
2801009,Campo do Brito,14311,13276,175,2219,13701,11237,175,1534
2801108,Canhoba,3130,2887,40,391,3120,2296,40,84
2801207,Canindé de São Francisco,21984,19737,275,1813,21343,17442,275,1273
2801306,Capela,26273,23645,315,2834,23348,18584,357,2173
2801405,Carira,16713,15561,195,2361,16102,12795,194,1775
2801504,Carmópolis,11696,10321,155,793,10478,8019,155,623
2801603,Cedro de São João,4558,4201,60,674,4329,3803,60,677
2801702,Cristinápolis,13539,12895,165,1446,12941,10376,165,1147
2801900,Cumbe,3251,3004,45,503,3163,2872,45,416
2802007,Divina Pastora,3800,3456,50,438,3471,3153,50,572
2802106,Estância,52712,48599,2500,6419,49201,40178,2510,4643
2802205,Feira Nova,4455,4120,55,553,4200,3429,57,328
2802304,Frei Paulo,11901,10501,150,1498,12002,9868,150,1206
2802403,Gararu,8910,8357,120,1102,8835,7576,115,657
2802502,General Maynard,2514,2323,35,319,2367,2250,35,338
2802601,Gracho Cardoso,4575,4263,65,750,4993,4191,71,664
2802700,Ilha das Flores,6313,5727,80,710,6184,4826,80,585
2802809,Indiaroba,12772,11521,145,1153,12306,10026,147,833
2802908,Itabaiana,72790,66801,2400,10121,74716,63571,2519,7157
2803005,Itabaianinha,31918,29167,370,3475,30733,25980,370,3019
2803104,Itabi,4016,3749,55,623,3927,3399,56,523
2803203,Itaporanga d'Ajuda,26192,24579,330,2647,26430,22593,330,2557
2803302,Japaratuba,13606,12136,175,1557,12926,11433,175,1251
2803401,Japoatã,10075,9228,135,1035,9844,7246,154,466
2803500,Lagarto,82578,76608,2500,12280,81105,70232,2510,8086
2803609,Laranjeiras,22640,20838,490,2018,23132,19135,502,1640
2803708,Macambira,5455,4965,70,900,5649,4785,70,715
2803807,Malhada dos Bois,2803,2801,40,335,2665,1774,43,224
2803906,Malhador,9830,9086,120,1118,9345,7892,119,963
2804003,Maruim,12847,11779,165,1293,11765,9641,165,1150
2804102,Moita Bonita,9038,8664,125,1480,9064,8056,138,1243
2804201,Monte Alegre de Sergipe,11362,10637,135,1109,10693,8295,135,842
2804300,Muribeca,5934,5776,75,616,6052,5407,75,624
2804409,Neópolis,14082,13148,175,1716,12684,10263,175,1443
2804458,Nossa Senhora Aparecida,7055,6649,95,1057,6913,6455,111,667
2804508,Nossa Senhora da Glória,28214,25995,1000,3578,28572,24398,968,2384
2804607,Nossa Senhora das Dores,20898,19321,245,2845,21605,17711,245,2365
2804706,Nossa Senhora de Lourdes,4971,4818,60,631,5246,4226,53,472
2804805,Nossa Senhora do Socorro,138649,127562,4100,11482,134741,112088,4175,9989
2804904,Pacatuba,10807,10029,130,1298,10285,8969,136,1026
2805000,Pedra Mole,2396,2225,40,336,2306,2132,42,294
2805109,Pedrinhas,7571,7110,90,747,6359,5394,91,434
2805208,Pinhão,5644,4967,65,715,4839,4393,73,793
2805307,Pirambu,7064,6152,80,1170,7068,6049,80,704
2805406,Poço Redondo,24435,22070,280,2744,23235,17747,280,2091
2805505,Poço Verde,19352,18343,210,2533,17564,15657,206,2041
2805604,Porto da Folha,21203,19436,265,2544,20960,18896,268,2216
2805703,Propriá,22800,21047,255,2791,22373,19116,258,2073
2805802,Riachão do Dantas,15376,14238,185,1944,14563,12406,183,1434
2805901,Riachuelo,7245,6445,100,767,7010,5449,100,612
2806008,Ribeirópolis,14700,13670,200,2162,13912,12566,197,1997
2806107,Rosário do Catete,8136,7582,105,885,7892,6690,111,640
2806206,Salgado,15345,14146,200,2001,15093,12712,200,1419
2806305,Santa Luzia do Itanhy,10320,9735,120,916,10172,7731,114,572
2806404,Santana do São Francisco,5613,5418,85,487,5265,4482,85,529
2806503,Santa Rosa de Lima,3334,3230,35,425,3081,2775,35,433
2806602,Santo Amaro das Brotas,8854,8389,125,1016,8622,7685,125,1036
2806701,São Cristóvão,68844,62882,2385,5912,67539,51099,2384,1999
2806800,São Domingos,8729,7987,110,1127,7789,6775,107,1056
2806909,São Francisco,2982,2748,40,320,2527,2341,40,343
2807006,São Miguel do Aleixo,3164,3020,40,522,3092,2473,54,310
2807105,Simão Dias,32202,30263,1050,4215,31444,25335,1078,3249
2807204,Siriri,6412,5796,75,822,6134,5598,75,812
2807303,Telha,2493,2303,45,323,2444,2030,46,318
2807402,Tobias Barreto,39736,33578,1160,4928,38447,33018,1187,3576
2807501,Tomar do Geru,10403,9491,135,786,8854,7034,139,652
2807600,Umbaúba,19447,17731,240,1840,17848,14104,237,1155
