codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,2191,1897,30,467,2000,1771,30,450
2800209,Aquidabã,19519,16825,210,5214,17312,14686,212,5893
2800308,Aracaju,610897,544967,12715,226174,537999,478502,12589,222955
2800407,Arauá,8906,8056,100,3882,9448,7629,102,3052
2800506,Areia Branca,16246,14671,185,4595,16022,14145,198,4574
2800605,Barra dos Coqueiros,26671,24845,845,10765,26305,21487,967,7891
2800670,Boquim,23788,21167,255,7628,21246,18367,252,7647
2800704,Brejo Grande,7138,6356,75,1835,7007,5466,75,1643
2801009,Campo do Brito,16467,15796,175,4842,15347,12585,175,5662
2801108,Canhoba,3520,3243,40,1362,3367,2636,40,983
2801207,Canindé de São Francisco,25424,22093,275,8029,24240,19689,275,5204
2801306,Capela,30489,26627,315,7896,31591,25710,357,8409
2801405,Carira,19121,17489,195,7593,17972,14485,194,6157
2801504,Carmópolis,13598,12153,155,3079,12151,10337,155,2586
2801603,Cedro de São João,5215,4919,60,1673,4749,4057,60,1842
2801702,Cristinápolis,15249,14409,165,4431,14756,12140,165,3383
2801900,Cumbe,3675,3280,45,1181,3512,3049,45,1206
2802007,Divina Pastora,4370,3893,50,1344,3973,3389,50,1698
2802106,Estância,59278,54091,2500,18075,54837,46724,2510,17794
2802205,Feira Nova,4995,4752,55,2229,4972,4108,57,1468
2802304,Frei Paulo,13191,12175,150,3539,13213,11497,150,4116
2802403,Gararu,9900,9477,120,3351,9714,8165,115,3335
2802502,General Maynard,2922,2485,35,911,2679,2445,35,1230
2802601,Gracho Cardoso,5317,4751,65,2355,5532,4596,71,1569
2802700,Ilha das Flores,7349,6417,80,1509,6889,5473,80,1997
2802809,Indiaroba,14951,13474,145,3139,14161,12118,147,3671
2802908,Itabaiana,83886,77527,2400,31139,84746,70544,2519,31913
2803005,Itabaianinha,35678,33229,370,4610,32861,27792,370,8394
2803104,Itabi,4500,4155,55,1589,4374,3757,56,1608
2803203,Itaporanga d'Ajuda,29716,28357,330,8525,29888,25947,330,8515
2803302,Japaratuba,15662,14536,175,4726,14480,12485,175,6224
2803401,Japoatã,11743,10805,135,3851,11704,8187,154,2787
2803500,Lagarto,90198,85646,2500,26257,88100,74854,2510,28673
2803609,Laranjeiras,25784,24676,490,7632,25410,20685,502,9927
2803708,Macambira,6345,5423,70,2189,6290,5299,70,2536
2803807,Malhada dos Bois,3287,2963,40,910,3048,2963,43,646
2803906,Malhador,10900,9742,120,3668,10603,8621,119,3305
2804003,Maruim,24220,12837,165,4100,13249,10697,165,4638
2804102,Moita Bonita,10146,9606,125,4065,10169,8695,138,4253
2804201,Monte Alegre de Sergipe,13046,11771,135,3508,12109,9896,135,3228
2804300,Muribeca,6889,6217,75,1771,6811,5861,75,1879
2804409,Neópolis,15652,14148,175,5094,14100,11425,175,4571
2804458,Nossa Senhora Aparecida,7853,7342,95,3198,7527,6655,111,2423
2804508,Nossa Senhora da Glória,32662,29432,1204,10850,31609,27125,968,8766
2804607,Nossa Senhora das Dores,32945,21809,245,6716,23901,19699,245,7122
2804706,Nossa Senhora de Lourdes,5581,5250,60,2465,5809,4934,53,2007
2804805,Nossa Senhora do Socorro,145079,143706,4100,33503,147125,123365,4175,40715
2804904,Pacatuba,12187,10999,130,4798,11738,10050,136,4384
2805000,Pedra Mole,2768,2410,40,1118,2603,2275,42,1137
2805109,Pedrinhas,8569,7692,90,2105,6913,5729,91,1834
2805208,Pinhão,6224,5427,65,1929,5472,4765,73,2240
2805307,Pirambu,8004,7419,80,2860,7751,6939,80,2582
2805406,Poço Redondo,28363,26963,280,5538,26122,20741,280,6894
2805505,Poço Verde,21458,20437,210,6030,19770,17745,206,6699
2805604,Porto da Folha,24354,21459,265,9133,23351,20258,268,8103
2805703,Propriá,25990,24079,255,8076,24416,20482,258,8173
2805802,Riachão do Dantas,16996,16180,185,4199,15311,13011,183,3358
2805901,Riachuelo,8135,7908,100,2820,7881,6280,100,2433
2806008,Ribeirópolis,16080,14342,200,6576,15535,13093,197,5882
2806107,Rosário do Catete,9350,8524,105,2805,8711,7357,111,3099
2806206,Salgado,17433,15634,200,5935,16609,13620,200,4997
2806305,Santa Luzia do Itanhy,11770,10689,120,4295,11450,9585,114,3598
2806404,Santana do São Francisco,6083,5418,85,1602,6055,4936,85,1927
2806503,Santa Rosa de Lima,4134,3380,35,1434,3574,3053,35,1391
2806602,Santo Amaro das Brotas,10034,8947,125,4307,9936,8796,125,3827
2806701,São Cristóvão,78642,74228,2385,23603,72804,59453,2384,20004
2806800,São Domingos,9609,8741,110,2598,8785,7509,107,3220
2806909,São Francisco,3416,2958,40,1241,2751,2400,40,959
2807006,São Miguel do Aleixo,3578,3200,40,1484,3437,2756,54,981
2807105,Simão Dias,35152,30983,1050,11542,34380,28428,1078,9819
2807204,Siriri,7490,6060,75,2607,6937,5989,75,2589
2807303,Telha,2833,2453,45,1120,2748,2180,46,982
2807402,Tobias Barreto,43656,35764,1160,11723,41704,35617,1187,14064
2807501,Tomar do Geru,11393,9725,135,4141,9448,7710,139,2313
2807600,Umbaúba,21697,18043,240,3646,19623,16054,237,4056
