codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,1901,1741,30,277,1844,1681,30,254
2800209,Aquidabã,17185,16261,210,2103,15808,13840,212,2088
2800308,Aracaju,550450,524024,12715,123095,516532,464533,12589,86872
2800407,Arauá,7816,7443,100,1133,8493,7231,102,1164
2800506,Areia Branca,14396,13118,185,1852,14781,13535,198,1493
2800605,Barra dos Coqueiros,23381,22557,845,5967,24247,20195,967,2382
2800670,Boquim,21638,20039,255,3667,19407,17630,252,3226
2800704,Brejo Grande,6208,5618,75,855,6128,4745,75,489
2801009,Campo do Brito,14557,13534,175,3335,13999,11902,175,1946
2801108,Canhoba,3130,2887,40,519,3125,2449,40,230
2801207,Canindé de São Francisco,22494,20675,275,4181,21736,18767,275,2237
2801306,Capela,27449,24077,315,3616,25772,21315,357,2819
2801405,Carira,16713,15561,195,3151,16326,13787,194,2250
2801504,Carmópolis,11978,10321,155,1106,10651,8802,155,872
2801603,Cedro de São João,4558,4201,60,694,4341,3946,60,871
2801702,Cristinápolis,13539,12895,165,1795,13071,11219,165,1258
2801900,Cumbe,3305,3052,45,673,3202,2983,45,480
2802007,Divina Pastora,3800,3624,50,836,3497,3308,50,654
2802106,Estância,53678,48599,2500,9999,49764,43531,2510,5863
2802205,Feira Nova,4455,4120,55,573,4333,3712,57,408
2802304,Frei Paulo,11901,10501,150,2010,12201,10301,150,1742
2802403,Gararu,8910,8357,120,1466,8887,7836,115,905
2802502,General Maynard,2562,2359,35,490,2382,2295,35,420
2802601,Gracho Cardoso,4647,4341,65,926,5016,4323,71,763
2802700,Ilha das Flores,6439,5835,80,1099,6255,5042,80,729
2802809,Indiaroba,13071,11749,145,1485,12363,10852,147,1076
2802908,Itabaiana,74158,69549,2400,15889,77305,66751,2519,12031
2803005,Itabaianinha,31918,29167,370,3605,31145,26784,370,3676
2803104,Itabi,4070,3803,55,997,3965,3548,56,761
2803203,Itaporanga d'Ajuda,26696,24579,330,2767,26783,23840,330,3440
2803302,Japaratuba,13930,12982,175,2480,13056,12121,175,1693
2803401,Japoatã,10075,9228,135,1416,9944,7523,154,647
2803500,Lagarto,82578,76608,2500,17484,82521,72818,2510,11604
2803609,Laranjeiras,23114,20838,490,4158,23311,19820,502,1986
2803708,Macambira,5735,5085,70,1489,5726,5038,70,1033
2803807,Malhada dos Bois,2857,2801,40,499,2720,2209,43,278
2803906,Malhador,9830,9086,120,1776,9590,8248,119,1550
2804003,Maruim,13117,12117,165,1648,11841,10138,165,1377
2804102,Moita Bonita,9038,8664,125,1939,9339,8436,138,2136
2804201,Monte Alegre de Sergipe,11596,10853,135,1429,10936,9001,135,1110
2804300,Muribeca,6036,5953,75,809,6084,5568,75,737
2804409,Neópolis,14082,13148,175,1776,12788,10830,175,1665
2804458,Nossa Senhora Aparecida,7163,6793,95,1788,6997,6605,111,877
2804508,Nossa Senhora da Glória,28762,25995,1000,6078,28845,25410,968,3870
2804607,Nossa Senhora das Dores,20898,19321,245,3781,22053,18701,245,3064
2804706,Nossa Senhora de Lourdes,4971,4818,60,855,5296,4723,53,637
2804805,Nossa Senhora do Socorro,138649,127562,4100,14482,136047,117375,4175,12192
2804904,Pacatuba,10807,10129,130,1727,10332,9424,136,1415
2805000,Pedra Mole,2438,2259,40,565,2315,2169,42,492
2805109,Pedrinhas,7709,7110,90,986,6414,5622,91,638
2805208,Pinhão,5644,4967,65,975,4896,4633,73,930
2805307,Pirambu,7064,6288,80,1750,7076,6328,80,975
2805406,Poço Redondo,24993,22514,280,3408,23556,18978,280,2372
2805505,Poço Verde,19658,18727,210,3226,17690,16192,206,2493
2805604,Porto da Folha,21617,19436,265,4210,20937,19692,268,2742
2805703,Propriá,22800,21047,255,2881,22561,19669,258,2770
2805802,Riachão do Dantas,15376,14238,185,2014,14663,12791,183,1809
2805901,Riachuelo,7245,6445,100,1042,7074,5751,100,803
2806008,Ribeirópolis,14700,13988,200,3222,14121,12672,197,2150
2806107,Rosário do Catete,8310,7582,105,1100,7919,6950,111,823
2806206,Salgado,15603,14146,200,2389,15218,13299,200,1766
2806305,Santa Luzia do Itanhy,10320,9735,120,956,10298,8928,114,805
2806404,Santana do São Francisco,5613,5418,85,502,5289,4624,85,647
2806503,Santa Rosa de Lima,3334,3230,35,460,3114,2891,35,556
2806602,Santo Amaro das Brotas,8854,8389,125,1673,8676,8066,125,1282
2806701,São Cristóvão,68844,62882,2385,10386,69098,55031,2384,5331
2806800,São Domingos,8729,7987,110,1443,7945,7072,107,1217
2806909,São Francisco,3036,2790,40,424,2529,2341,40,343
2807006,São Miguel do Aleixo,3218,3068,40,638,3155,2606,54,359
2807105,Simão Dias,32202,30263,1050,8205,31872,26742,1078,3945
2807204,Siriri,6550,5796,75,1273,6206,5800,75,953
2807303,Telha,2493,2303,45,343,2459,2101,46,415
2807402,Tobias Barreto,39736,33578,1160,5908,39077,34404,1187,5389
2807501,Tomar do Geru,10403,9491,135,831,8909,7341,139,740
2807600,Umbaúba,19447,17731,240,1925,18131,15475,237,1507
