codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,2255,2137,30,722,2008,1828,30,635
2800209,Aquidabã,19796,18155,210,5809,17547,15084,212,6839
2800308,Aracaju,617927,578847,12715,275976,566039,498269,12589,252564
2800407,Arauá,9040,8746,100,4706,9545,7863,102,3726
2800506,Areia Branca,16496,15871,185,6946,16158,14713,198,5083
2800605,Barra dos Coqueiros,26671,26545,845,13816,26989,22153,967,9868
2800670,Boquim,24448,22617,255,9123,21708,19121,252,9732
2800704,Brejo Grande,7405,7056,75,1985,7147,5857,75,1996
2801009,Campo do Brito,16467,16906,175,6026,15630,13107,175,6326
2801108,Canhoba,3666,3643,40,1600,3447,2782,40,1259
2801207,Canindé de São Francisco,26334,23619,275,10755,24829,20440,275,7257
2801306,Capela,31913,28887,315,11672,31784,26612,357,9868
2801405,Carira,19091,18949,195,9799,18223,15021,194,7377
2801504,Carmópolis,14082,13400,155,4604,12483,10673,155,3502
2801603,Cedro de São João,5215,5069,60,2456,4796,4190,60,2027
2801702,Cristinápolis,15769,15689,165,6050,14986,12685,165,3881
2801900,Cumbe,3807,3590,45,1552,3543,3110,45,1332
2802007,Divina Pastora,4518,4373,50,1819,4012,3638,50,2039
2802106,Estância,61018,58241,2500,24278,55627,47964,2510,20520
2802205,Feira Nova,5285,5362,55,2576,5061,4331,57,1700
2802304,Frei Paulo,13567,13145,150,5138,13363,11926,150,4524
2802403,Gararu,10190,10227,120,4125,9873,8417,115,4318
2802502,General Maynard,3002,2755,35,1238,2689,2526,35,1316
2802601,Gracho Cardoso,5317,5111,65,2708,5626,4803,71,1933
2802700,Ilha das Flores,7602,7107,80,2741,7054,5740,80,2583
2802809,Indiaroba,15515,14874,145,4763,14435,12987,147,4702
2802908,Itabaiana,84026,76557,2400,45910,85780,72643,2519,37428
2803005,Itabaianinha,36845,35197,370,9197,33201,28062,370,9359
2803104,Itabi,4604,4495,55,1888,4430,3889,56,1854
2803203,Itaporanga d'Ajuda,30646,31517,330,10697,30207,26815,330,9910
2803302,Japaratuba,15882,15556,175,6418,14749,12944,175,7085
2803401,Japoatã,11743,11463,135,5404,11854,8554,154,3799
2803500,Lagarto,92654,91326,2500,35617,88736,76412,2510,33353
2803609,Laranjeiras,26613,26666,490,10318,25616,21309,502,11204
2803708,Macambira,6512,5893,70,3050,6351,5423,70,2902
2803807,Malhada dos Bois,3392,3303,40,1249,3048,2963,43,646
2803906,Malhador,11212,10562,120,4375,10741,9009,119,4122
2804003,Maruim,15252,14067,165,5561,13453,11145,165,5562
2804102,Moita Bonita,10146,10196,125,6166,10238,8917,138,4965
2804201,Monte Alegre de Sergipe,13481,12861,135,4570,12413,10347,135,4173
2804300,Muribeca,6889,6727,75,2367,6865,6058,75,2567
2804409,Neópolis,16129,15328,175,6760,14427,11939,175,5446
2804458,Nossa Senhora Aparecida,8043,7872,95,3712,7612,6819,111,2917
2804508,Nossa Senhora da Glória,33142,31482,1000,13943,32221,27603,968,11071
2804607,Nossa Senhora das Dores,23777,23449,245,9108,24167,19971,245,8008
2804706,Nossa Senhora de Lourdes,5747,5720,60,2845,5865,5041,53,2247
2804805,Nossa Senhora do Socorro,148039,144926,4100,52877,150906,127262,4175,50615
2804904,Pacatuba,12599,12039,130,6013,11895,10498,136,5285
2805000,Pedra Mole,2848,2670,40,1426,2631,2428,42,1302
2805109,Pedrinhas,8819,8342,90,2827,7038,5910,91,2425
2805208,Pinhão,6384,5867,65,2740,5532,4997,73,2568
2805307,Pirambu,8274,8129,80,3711,7835,7096,80,2946
2805406,Poço Redondo,29406,29473,280,7920,26992,21302,280,8606
2805505,Poço Verde,22008,21777,210,7799,19976,18117,206,8061
2805604,Porto da Folha,24957,23389,265,11727,23592,21355,268,10443
2805703,Propriá,25990,27419,255,10729,24784,21040,258,9559
2805802,Riachão do Dantas,17490,17400,185,5578,15977,13664,183,6048
2805901,Riachuelo,8535,8880,100,3490,8004,6526,100,2994
2806008,Ribeirópolis,16494,15382,200,8438,15723,13952,197,7091
2806107,Rosário do Catete,9660,9314,105,3797,8871,7549,111,3826
2806206,Salgado,17683,16524,200,7401,16845,13988,200,6297
2806305,Santa Luzia do Itanhy,12205,11779,120,5066,11666,9934,114,4138
2806404,Santana do São Francisco,6147,5758,85,2312,6115,5190,85,2421
2806503,Santa Rosa de Lima,4350,3990,35,1939,3591,3149,35,1526
2806602,Santo Amaro das Brotas,10382,9827,125,5398,9998,8978,125,4449
2806701,São Cristóvão,80478,77262,2385,31793,75732,60842,2384,26547
2806800,São Domingos,10005,9481,110,3871,8893,7769,107,3712
2806909,São Francisco,3502,3408,40,1320,2980,2623,40,1435
2807006,São Miguel do Aleixo,3663,3582,40,2049,3512,2785,54,1218
2807105,Simão Dias,36075,33183,1050,15876,35234,29702,1078,12341
2807204,Siriri,7758,6770,75,3411,6997,6199,75,3097
2807303,Telha,2915,2733,45,1321,2766,2278,46,1152
2807402,Tobias Barreto,44884,37900,1160,18089,41968,36110,1187,15527
2807501,Tomar do Geru,11845,10361,135,5262,9585,7847,139,2692
2807600,Umbaúba,22384,20188,240,5468,19933,17276,237,4838
