codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,1004,2043,1983,30,851,52
2800209,Aquidabã,19796,19145,210,8706,17824,16326,212,9042,804
2800308,Aracaju,617927,609877,12715,353109,566020,517654,12911,316583,46511
2800407,Arauá,9040,9226,100,6061,9583,8547,102,4435,478
2800506,Areia Branca,16496,16771,185,9106,16488,15432,198,7975,475
2800605,Barra dos Coqueiros,26771,28355,845,18724,27577,24182,967,13218,1107
2800670,Boquim,24448,23827,255,13721,21885,20458,252,11937,1207
2800704,Brejo Grande,7405,7556,75,2962,7277,6677,75,2712,100
2801009,Campo do Brito,16627,17856,175,9288,15802,13976,175,7971,820
2801108,Canhoba,3666,3843,40,2115,3497,3054,40,1597,87
2801207,Canindé de São Francisco,26334,25279,275,13757,25270,22479,275,10148,611
2801306,Capela,31913,30607,315,15809,32160,28535,357,13393,1101
2801405,Carira,19091,20099,195,12362,18463,16346,194,8901,692
2801504,Carmópolis,14082,14290,155,6171,12780,11669,155,4958,286
2801603,Cedro de São João,5215,5299,60,3254,4848,4508,60,2430,357
2801702,Cristinápolis,15769,16699,165,8004,15406,13876,165,5403,151
2801900,Cumbe,3807,3760,45,2116,3565,3336,45,1638,199
2802007,Divina Pastora,4518,4653,50,2707,4112,4034,50,2643,223
2802106,Estância,61018,61421,2500,32369,56749,53643,2510,27870,2741
2802205,Feira Nova,5285,5632,55,3266,5137,4606,57,2066,21
2802304,Frei Paulo,13567,13845,150,7065,13602,12720,150,5842,497
2802403,Gararu,10190,10757,120,5885,9953,9223,115,5375,354
2802502,General Maynard,3002,2925,35,2067,2644,2501,116,1692,275
2802601,Gracho Cardoso,5317,5461,65,3675,5692,5085,71,2838,287
2802700,Ilha das Flores,7602,7647,80,3920,7221,6373,80,3218,251
2802809,Indiaroba,15515,16284,145,6630,15005,14232,147,6135,485
2802908,Itabaiana,84026,81561,2400,57394,87291,77710,2519,45669,4527
2803005,Itabaianinha,36845,37937,370,13772,33728,29424,370,11217,477
2803104,Itabi,4604,4695,55,2579,4497,4131,56,2174,301
2803203,Itaporanga d'Ajuda,30646,33237,330,14494,30590,28716,330,14963,610
2803302,Japaratuba,15882,16482,175,8733,14943,14042,175,8929,791
2803401,Japoatã,11743,12163,135,7617,12460,10434,154,6028,329
2803500,Lagarto,92654,95726,2500,48627,89623,80575,2510,40893,2645
2803609,Laranjeiras,26613,28176,490,13259,25900,22743,502,12986,754
2803708,Macambira,6512,6203,70,4039,6412,5861,70,3429,423
2803807,Malhada dos Bois,3392,3503,40,1663,3071,3069,43,1009,15
2803906,Malhador,11212,11132,120,5891,10827,9613,119,4924,512
2804003,Maruim,15252,14977,165,7371,13612,12079,165,6847,708
2804102,Moita Bonita,10146,10756,125,7160,10357,9709,138,6127,781
2804201,Monte Alegre de Sergipe,13481,13661,135,6217,12766,11482,135,5641,432
2804300,Muribeca,6889,7279,75,3663,6963,6587,75,3481,103
2804409,Neópolis,16129,16198,175,9097,14753,12871,175,6859,353
2804458,Nossa Senhora Aparecida,8043,8302,95,4930,7992,7304,111,3592,183
2804508,Nossa Senhora da Glória,33142,33260,1000,21346,33054,30014,968,15706,1419
2804607,Nossa Senhora das Dores,23777,24689,245,12420,24603,21075,245,9835,904
2804706,Nossa Senhora de Lourdes,5747,6030,60,3723,5926,5362,53,2822,297
2804805,Nossa Senhora do Socorro,148039,151306,4100,76020,154609,137195,4175,70007,5232
2804904,Pacatuba,12599,12899,130,7550,12150,11601,136,6513,724
2805000,Pedra Mole,2848,2820,40,1884,2657,2596,42,1498,163
2805109,Pedrinhas,8819,8802,90,4032,7127,6263,91,3109,196
2805208,Pinhão,6384,6167,65,3645,5572,5271,73,2953,319
2805307,Pirambu,8274,8629,80,4734,8010,7535,80,3693,417
2805406,Poço Redondo,29406,32187,280,11787,27804,24076,280,11476,750
2805505,Poço Verde,22008,22889,210,11059,20178,19140,206,10065,617
2805604,Porto da Folha,24957,24829,265,15202,23935,22780,268,13082,1035
2805703,Propriá,25990,29171,255,14485,25142,23064,258,11378,810
2805802,Riachão do Dantas,17490,18300,185,8332,16260,14631,183,7582,233
2805901,Riachuelo,8535,9420,100,4575,8281,7659,100,3510,157
2806008,Ribeirópolis,16494,16142,200,10995,15807,14568,197,8062,836
2806107,Rosário do Catete,9660,10054,105,4891,9048,8093,111,4823,304
2806206,Salgado,17683,17414,200,9919,17051,15046,200,7940,745
2806305,Santa Luzia do Itanhy,12205,12579,120,6848,11906,11003,114,5295,303
2806404,Santana do São Francisco,6147,6078,85,4029,6232,5869,85,2929,108
2806503,Santa Rosa de Lima,4350,4400,35,1893,3621,3431,35,1741,141
2806602,Santo Amaro das Brotas,10382,10477,125,6825,10101,9572,125,5663,537
2806701,São Cristóvão,80478,81502,2385,41129,76907,66546,2384,35264,1264
2806800,São Domingos,10005,10021,110,6775,9041,8311,107,4723,641
2806909,São Francisco,3502,3578,40,1761,3017,2842,40,1901,151
2807006,São Miguel do Aleixo,3663,3752,40,2581,3596,3094,54,1717,176
2807105,Simão Dias,36075,34863,1050,21437,35663,31266,1078,16326,1168
2807204,Siriri,7758,7270,75,4488,7093,6785,75,3875,349
2807303,Telha,2915,2883,45,1697,2794,2522,46,1350,184
2807402,Tobias Barreto,44884,40110,1160,27655,43329,38226,1187,19105,1358
2807501,Tomar do Geru,11845,11021,135,6715,9767,8250,139,3440,118
2807600,Umbaúba,22384,21550,240,8215,20395,19431,237,7209,477
