codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,1981,1897,30,292,1887,1732,30,282
2800209,Aquidabã,18079,16261,210,2238,16354,14239,212,4165
2800308,Aracaju,572110,536777,12715,155365,522766,471961,12589,154980
2800407,Arauá,8106,7816,100,3048,8737,7419,102,2228
2800506,Areia Branca,14926,14371,185,3792,15189,13828,198,3386
2800605,Barra dos Coqueiros,24241,23945,845,8121,24836,20868,967,5821
2800670,Boquim,22368,20561,255,4690,20209,17870,252,5480
2800704,Brejo Grande,6508,6134,75,1073,6316,4924,75,946
2801009,Campo do Brito,15047,14926,175,3450,14445,12284,175,4015
2801108,Canhoba,3260,3159,40,1065,3178,2516,40,682
2801207,Canindé de São Francisco,23494,21439,275,4830,22817,19112,275,4058
2801306,Capela,28499,25967,315,4745,29427,25282,357,5881
2801405,Carira,17323,16957,195,5405,16663,14123,194,4548
2801504,Carmópolis,12518,11949,155,1560,11380,9402,155,1928
2801603,Cedro de São João,4688,4639,60,1233,4481,4001,60,1390
2801702,Cristinápolis,14109,14055,165,3159,13339,11570,165,2213
2801900,Cumbe,3395,3226,45,884,3299,3019,45,930
2802007,Divina Pastora,3970,3893,50,950,3647,3341,50,1335
2802106,Estância,55628,52783,2500,11535,51241,45238,2510,14336
2802205,Feira Nova,4625,4500,55,1644,4601,3847,57,1030
2802304,Frei Paulo,12331,11875,150,2356,12586,10589,150,3092
2802403,Gararu,9230,9177,120,2486,9074,7983,115,2089
2802502,General Maynard,2662,2485,35,660,2558,2297,35,1012
2802601,Gracho Cardoso,4807,4621,65,1915,5099,4458,71,846
2802700,Ilha das Flores,6729,6267,80,1144,6411,5204,80,1356
2802809,Indiaroba,13711,13096,145,1580,12872,11430,147,2503
2802908,Itabaiana,76738,75005,2400,23969,79712,68826,2519,22445
2803005,Itabaianinha,33218,32407,370,3845,31861,27297,370,6497
2803104,Itabi,4200,4101,55,1230,4124,3598,56,1155
2803203,Itaporanga d'Ajuda,27736,26917,330,5889,27706,24607,330,5839
2803302,Japaratuba,14420,13982,175,3293,13338,12322,175,4782
2803401,Japoatã,10505,10493,135,2348,10388,7954,154,1271
2803500,Lagarto,85198,85646,2500,18306,84225,73645,2510,20322
2803609,Laranjeiras,24024,23506,490,5406,24146,20164,502,7130
2803708,Macambira,5915,5333,70,1672,5875,5158,70,1972
2803807,Malhada dos Bois,2987,2897,40,638,2730,2209,43,350
2803906,Malhador,10180,9742,120,2726,9694,8338,119,2452
2804003,Maruim,13677,12483,165,2520,12228,10370,165,3025
2804102,Moita Bonita,9318,9012,125,2945,9610,8600,138,3405
2804201,Monte Alegre de Sergipe,12076,10853,135,1514,11108,9339,135,2150
2804300,Muribeca,6256,6079,75,1213,6395,5690,75,916
2804409,Neópolis,14612,14148,175,3681,13088,11110,175,3190
2804458,Nossa Senhora Aparecida,7383,7192,95,2238,7167,6655,111,2173
2804508,Nossa Senhora da Glória,29792,28940,1000,7664,29394,26699,968,6682
2804607,Nossa Senhora das Dores,21648,21605,245,5826,22499,19208,245,5332
2804706,Nossa Senhora de Lourdes,5161,5148,60,2079,5412,4803,53,1458
2804805,Nossa Senhora do Socorro,141089,140196,4100,25833,139440,120082,4175,29090
2804904,Pacatuba,11267,10699,130,3797,10620,9840,136,3186
2805000,Pedra Mole,2528,2410,40,887,2407,2203,42,912
2805109,Pedrinhas,7979,7692,90,1233,6712,5665,91,1380
2805208,Pinhão,5824,5367,65,1442,5062,4679,73,1593
2805307,Pirambu,7374,6957,80,2149,7262,6448,80,1930
2805406,Poço Redondo,26153,25025,280,4368,24242,19681,280,5113
2805505,Poço Verde,20268,19885,210,3841,17866,16298,206,4225
2805604,Porto da Folha,22477,20931,265,6953,21396,20036,268,5879
2805703,Propriá,23630,23047,255,5402,22845,19942,258,5261
2805802,Riachão do Dantas,15916,15238,185,2323,14936,12893,183,2834
2805901,Riachuelo,7565,7326,100,2238,7301,5920,100,1597
2806008,Ribeirópolis,15160,14288,200,4998,14786,12763,197,3820
2806107,Rosário do Catete,8660,8404,105,1975,8281,7147,111,2006
2806206,Salgado,16133,15334,200,3809,15490,13477,200,3686
2806305,Santa Luzia do Itanhy,10800,10587,120,3250,10619,9294,114,2541
2806404,Santana do São Francisco,5743,5418,85,908,5504,4698,85,1234
2806503,Santa Rosa de Lima,3594,3380,35,1132,3267,2960,35,1071
2806602,Santo Amaro das Brotas,9244,8845,125,3401,9460,8268,125,2829
2806701,São Cristóvão,71434,71108,2385,16727,69313,56095,2384,9984
2806800,São Domingos,9049,8363,110,1891,8343,7306,107,2406
2806909,São Francisco,3136,2856,40,924,2649,2388,40,809
2807006,São Miguel do Aleixo,3308,3200,40,954,3194,2674,54,544
2807105,Simão Dias,33202,30263,1050,8445,32757,27499,1078,7074
2807204,Siriri,6860,5970,75,1931,6522,5905,75,1958
2807303,Telha,2583,2357,45,889,2551,2131,46,697
2807402,Tobias Barreto,41106,34960,1160,7720,40170,35021,1187,9936
2807501,Tomar do Geru,10763,9491,135,3291,9022,7590,139,1657
2807600,Umbaúba,20217,17731,240,2080,18507,15735,237,2605
