codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2137,30,722,2029,1914,30,717,0
2800209,Aquidabã,19796,18155,210,5809,17726,15720,212,8224,243
2800308,Aracaju,617927,578847,12715,291660,566020,499336,12910,291315,10837
2800407,Arauá,9040,8746,100,4706,9565,8196,102,4227,144
2800506,Areia Branca,16496,15871,185,6946,16400,15266,198,6968,179
2800605,Barra dos Coqueiros,26771,26945,845,14816,27289,23059,967,11781,308
2800670,Boquim,24448,22617,255,11231,21820,20025,252,11258,371
2800704,Brejo Grande,7405,7056,75,1985,7241,6139,75,2480,0
2801009,Campo do Brito,16627,17056,175,6426,15726,13594,175,7422,336
2801108,Canhoba,3666,3643,40,1600,3474,2948,40,1381,0
2801207,Canindé de São Francisco,26334,23619,275,10755,25059,21688,275,9042,181
2801306,Capela,31913,28887,315,11672,32027,27748,357,11742,378
2801405,Carira,19091,19089,195,9799,18381,15818,194,8247,256
2801504,Carmópolis,14082,13400,155,4604,12636,11206,155,4182,102
2801603,Cedro de São João,5215,5069,60,2456,4835,4399,60,2255,41
2801702,Cristinápolis,15769,15689,165,6050,15252,13282,165,4750,22
2801900,Cumbe,3807,3590,45,1552,3556,3215,45,1488,55
2802007,Divina Pastora,4518,4373,50,1819,4096,3934,50,2309,73
2802106,Estância,61018,58241,2500,24278,56225,51674,2510,24922,850
2802205,Feira Nova,5285,5362,55,2576,5092,4423,57,1934,0
2802304,Frei Paulo,13567,13145,150,5138,13537,12371,150,5460,109
2802403,Gararu,10190,10227,120,4425,9924,8857,115,4883,133
2802502,General Maynard,3002,2755,35,1680,2707,2600,35,1702,113
2802601,Gracho Cardoso,5317,5191,65,2828,5635,4983,71,1933,0
2802700,Ilha das Flores,7602,7167,80,2891,7123,6022,80,2908,127
2802809,Indiaroba,15515,15234,145,4763,14627,13663,147,5400,120
2802908,Itabaiana,84026,76959,2400,45910,86634,75693,2519,42237,1110
2803005,Itabaianinha,36845,35797,370,9197,33510,28605,370,10362,118
2803104,Itabi,4604,4495,55,1888,4474,4036,56,1963,121
2803203,Itaporanga d'Ajuda,30646,31517,330,10697,30407,27801,330,13230,32
2803302,Japaratuba,15882,15652,175,6418,14853,13443,175,8191,307
2803401,Japoatã,11743,11463,135,6004,11959,9013,154,4856,116
2803500,Lagarto,92654,91326,2500,35617,89239,78466,2510,37840,714
2803609,Laranjeiras,26613,26666,490,10318,25838,22249,502,12302,113
2803708,Macambira,6512,5893,70,3050,6387,5685,70,3212,150
2803807,Malhada dos Bois,3392,3303,40,1249,3069,3061,43,978,5
2803906,Malhador,11212,10562,120,4375,10784,9359,119,4674,3
2804003,Maruim,15252,14067,165,5561,13546,11552,165,6284,356
2804102,Moita Bonita,10146,10296,125,6466,10323,9471,138,5782,363
2804201,Monte Alegre de Sergipe,13481,12861,135,4570,12609,10966,135,4921,62
2804300,Muribeca,6889,6929,75,2367,6898,6256,75,2976,23
2804409,Neópolis,16129,15328,175,6760,14629,12465,175,6368,68
2804458,Nossa Senhora Aparecida,8043,7952,95,3712,7983,7157,111,3435,51
2804508,Nossa Senhora da Glória,33142,31482,1000,13943,32711,29083,968,13747,410
2804607,Nossa Senhora das Dores,23777,23449,245,9108,24456,20416,245,9022,40
2804706,Nossa Senhora de Lourdes,5747,5720,60,2845,5903,5201,53,2556,169
2804805,Nossa Senhora do Socorro,148039,144926,4100,52877,153141,131671,4175,62600,206
2804904,Pacatuba,12599,12139,130,6013,11956,10980,136,5858,250
2805000,Pedra Mole,2848,2670,40,1426,2646,2484,42,1438,78
2805109,Pedrinhas,8819,8342,90,2827,7086,6098,91,2830,76
2805208,Pinhão,6384,5867,65,2740,5559,5151,73,2805,167
2805307,Pirambu,8274,8129,80,3711,7953,7257,80,3303,161
2805406,Poço Redondo,29406,30277,280,7920,27407,22717,280,10105,198
2805505,Poço Verde,22008,21879,210,7799,20080,18551,206,9447,141
2805604,Porto da Folha,24957,23389,265,11727,23816,22172,268,12319,463
2805703,Propriá,25990,27419,255,10729,24986,22346,258,10678,294
2805802,Riachão do Dantas,17490,17400,185,5782,16160,14081,183,7025,20
2805901,Riachuelo,8535,8880,100,3490,8084,6816,100,3320,37
2806008,Ribeirópolis,16494,15382,200,8438,15779,14321,197,7718,325
2806107,Rosário do Catete,9660,9314,105,3797,8939,7756,111,4406,53
2806206,Salgado,17683,16524,200,7401,16949,14387,200,7122,121
2806305,Santa Luzia do Itanhy,12205,11779,120,5066,11816,10483,114,4757,71
2806404,Santana do São Francisco,6147,5878,85,2512,6222,5800,85,2871,11
2806503,Santa Rosa de Lima,4350,3990,35,1939,3606,3332,35,1650,77
2806602,Santo Amaro das Brotas,10382,9827,125,5398,10065,9331,125,5178,220
2806701,São Cristóvão,80478,77262,2385,34471,76257,63516,2384,31713,181
2806800,São Domingos,10005,9481,110,4171,9012,8206,107,4339,154
2806909,São Francisco,3502,3408,40,1320,2999,2746,40,1763,33
2807006,São Miguel do Aleixo,3663,3582,40,2049,3564,2981,54,1544,0
2807105,Simão Dias,36075,33183,1050,15876,35471,30489,1078,14511,311
2807204,Siriri,7758,6770,75,3411,7072,6591,75,3629,148
2807303,Telha,2915,2733,45,1321,2782,2390,46,1244,80
2807402,Tobias Barreto,44884,37900,1160,18089,42823,37285,1187,17624,161
2807501,Tomar do Geru,11845,10441,135,5262,9699,8035,139,3048,3
2807600,Umbaúba,22384,20188,240,5468,20096,17763,237,5609,44
