codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,1241,2043,1983,30,851,56
2800209,Aquidabã,19796,19145,210,10369,17835,16369,212,9205,1106
2800308,Aracaju,617927,609877,12715,407233,566020,518756,12911,321345,56164
2800407,Arauá,9040,9226,100,6816,9583,8561,102,4458,513
2800506,Areia Branca,16496,16771,185,10534,16535,15487,198,8020,540
2800605,Barra dos Coqueiros,26771,28355,845,21075,27594,24249,967,13398,1327
2800670,Boquim,24448,23827,255,15804,21891,20490,252,12056,1487
2800704,Brejo Grande,7405,7556,75,3661,7280,6690,75,2772,122
2801009,Campo do Brito,16627,17856,175,10602,15803,13981,175,7983,840
2801108,Canhoba,3666,3843,40,2427,3497,3057,40,1601,102
2801207,Canindé de São Francisco,26334,25279,275,16476,25296,22530,275,10289,710
2801306,Capela,31913,30607,315,18575,32370,28633,357,14003,1447
2801405,Carira,19091,20099,195,13977,18471,16399,194,8987,884
2801504,Carmópolis,14082,14290,155,7666,12812,11727,155,5079,543
2801603,Cedro de São João,5215,5299,60,3780,4850,4514,60,2479,441
2801702,Cristinápolis,15769,16699,165,9511,15411,13903,165,5524,244
2801900,Cumbe,3807,3760,45,2420,3565,3339,45,1654,225
2802007,Divina Pastora,4518,4653,50,3200,4113,4056,50,2778,342
2802106,Estância,61018,61421,2500,37658,56765,53762,2510,28276,3973
2802205,Feira Nova,5285,5632,55,3694,5140,4629,57,2103,66
2802304,Frei Paulo,13567,13845,150,8207,13609,12757,150,5937,676
2802403,Gararu,10190,10757,120,6711,9960,9281,115,5506,482
2802502,General Maynard,3002,2925,35,2402,2697,2640,116,2026,313
2802601,Gracho Cardoso,5317,5461,65,4104,5696,5116,71,2955,322
2802700,Ilha das Flores,7602,7647,80,4603,7222,6398,80,3322,396
2802809,Indiaroba,15515,16284,145,8126,15023,14262,147,6287,580
2802908,Itabaiana,84026,81561,2400,65649,87346,77819,2519,45902,4896
