codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,898,2037,1960,30,747,16
2800209,Aquidabã,19796,19145,210,7560,17806,16218,212,8857,533
2800308,Aracaju,617927,609877,12715,344553,566020,513265,12911,308433,20470
2800407,Arauá,9040,9226,100,5477,9576,8475,102,4396,344
2800506,Areia Branca,16496,16771,185,8359,16467,15399,198,7765,319
2800605,Barra dos Coqueiros,26771,28355,845,17091,27505,23885,967,12791,652
2800670,Boquim,24448,23827,255,13396,21870,20330,252,11746,810
2800704,Brejo Grande,7405,7556,75,2617,7262,6516,75,2629,26
2801009,Campo do Brito,16627,17856,175,7914,15786,13892,175,7843,647
2801108,Canhoba,3666,3843,40,1920,3496,3044,40,1509,36
2801207,Canindé de São Francisco,26334,25279,275,12950,25213,22261,275,9820,370
2801306,Capela,31913,30607,315,14297,32127,28334,357,12863,832
2801405,Carira,19091,20099,195,11592,18456,16229,194,8737,503
2801504,Carmópolis,14082,14290,155,5773,12764,11600,155,4751,191
2801603,Cedro de São João,5215,5299,60,2937,4846,4490,60,2374,256
2801702,Cristinápolis,15769,16699,165,7397,15363,13765,165,5264,80
2801900,Cumbe,3807,3760,45,1882,3562,3315,45,1604,180
2802007,Divina Pastora,4518,4653,50,2203,4112,4014,50,2436,114
2802106,Estância,61018,61421,2500,29613,56723,53148,2510,27003,1413
2802205,Feira Nova,5285,5632,55,3010,5130,4561,57,2047,13
2802304,Frei Paulo,13567,13845,150,6358,13586,12644,150,5732,239
2802403,Gararu,10190,10757,120,5345,9947,9130,115,5230,309
2802502,General Maynard,3002,2925,35,1835,2644,2501,116,1692,138
2802601,Gracho Cardoso,5317,5461,65,3324,5677,5060,71,2742,182
2802700,Ilha das Flores,7602,7647,80,3558,7202,6311,80,3138,197
2802809,Indiaroba,15515,16284,145,6099,14914,14114,147,5906,328
2802908,Itabaiana,84026,81561,2400,53385,87129,77153,2519,44645,2487
2803005,Itabaianinha,36845,37937,370,12412,33640,29178,370,10898,362
2803104,Itabi,4604,4695,55,2295,4492,4111,56,2143,261
2803203,Itaporanga d'Ajuda,30646,33237,330,13297,30533,28418,330,14491,238
2803302,Japaratuba,15882,16482,175,7867,14916,13940,175,8747,584
2803401,Japoatã,11743,12163,135,7049,12365,10235,154,5734,249
2803500,Lagarto,92654,95726,2500,43911,89521,80062,2510,39932,1717
2803609,Laranjeiras,26613,28176,490,12476,25885,22604,502,12801,279
2803708,Macambira,6512,6203,70,3638,6406,5834,70,3371,341
2803807,Malhada dos Bois,3392,3503,40,1524,3071,3069,43,1001,12
2803906,Malhador,11212,11132,120,5357,10819,9532,119,4855,95
2804003,Maruim,15252,14977,165,6831,13590,11974,165,6676,524
2804102,Moita Bonita,10146,10756,125,7436,10349,9619,138,5980,587
2804201,Monte Alegre de Sergipe,13481,13661,135,5705,12692,11301,135,5429,321
2804300,Muribeca,6889,7279,75,2957,6949,6505,75,3331,72
2804409,Neópolis,16129,16198,175,8245,14716,12796,175,6783,274
2804458,Nossa Senhora Aparecida,8043,8302,95,4440,7989,7267,111,3570,144
2804508,Nossa Senhora da Glória,33142,33260,1000,16825,33015,29750,968,15218,961
2804607,Nossa Senhora das Dores,23777,24689,245,11223,24568,20918,245,9638,425
2804706,Nossa Senhora de Lourdes,5747,6030,60,3362,5917,5338,53,2735,258
2804805,Nossa Senhora do Socorro,148039,151306,4100,66011,154230,135890,4175,68038,1831
2804904,Pacatuba,12599,12899,130,7121,12004,11493,136,6327,422
2805000,Pedra Mole,2848,2820,40,1690,2655,2574,42,1468,105
2805109,Pedrinhas,8819,8802,90,3592,7119,6234,91,3046,155
2805208,Pinhão,6384,6167,65,3283,5569,5237,73,2914,306
2805307,Pirambu,8274,8629,80,4400,7976,7455,80,3586,249
2805406,Poço Redondo,29406,32187,280,10562,27725,23819,280,11186,498
2805505,Poço Verde,22008,22889,210,9786,20157,19027,206,9865,389
2805604,Porto da Folha,24957,24829,265,13942,23914,22692,268,12900,810
2805703,Propriá,25990,29171,255,13027,25106,22908,258,11171,626
2805802,Riachão do Dantas,17490,18300,185,7369,16235,14485,183,7419,93
2805901,Riachuelo,8535,9420,100,4258,8113,7300,100,3478,145
2806008,Ribeirópolis,16494,16142,200,9993,15804,14528,197,7968,556
2806107,Rosário do Catete,9660,10054,105,4607,9029,8008,111,4695,221
2806206,Salgado,17683,17414,200,9000,17034,14900,200,7737,375
2806305,Santa Luzia do Itanhy,12205,12579,120,6102,11877,10902,114,5159,206
2806404,Santana do São Francisco,6147,6078,85,3102,6231,5838,85,2898,33
2806503,Santa Rosa de Lima,4350,4400,35,2264,3617,3406,35,1719,112
2806602,Santo Amaro das Brotas,10382,10477,125,6335,10090,9489,125,5509,406
2806701,São Cristóvão,80478,81502,2385,41129,76767,65991,2384,34336,653
2806800,São Domingos,10005,10021,110,5071,9033,8255,107,4609,461
2806909,São Francisco,3502,3578,40,1605,3008,2821,40,1862,142
2807006,São Miguel do Aleixo,3663,3752,40,2364,3593,3078,54,1686,75
2807105,Simão Dias,36075,34863,1050,19221,35609,31067,1078,15893,792
2807204,Siriri,7758,7270,75,4115,7091,6730,75,3817,249
2807303,Telha,2915,2883,45,1569,2789,2513,46,1316,142
2807402,Tobias Barreto,44884,40110,1160,22345,43276,37951,1187,18613,665
2807501,Tomar do Geru,11845,11021,135,6288,9748,8187,139,3361,76
2807600,Umbaúba,22384,21550,240,7369,20320,19155,237,6649,162
