codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,2255,2137,30,722,2008,1828,30,635
2800209,Aquidabã,19796,18155,210,5809,17531,15039,212,6754
2800308,Aracaju,617927,578847,12715,275976,566039,498269,12589,252564
2800407,Arauá,9040,8746,100,4706,9545,7863,102,3726
2800506,Areia Branca,16496,15871,185,6946,16158,14713,198,5083
2800605,Barra dos Coqueiros,26671,26545,845,13816,26965,22095,967,9760
2800670,Boquim,24448,22617,255,9123,21667,19024,252,9582
2800704,Brejo Grande,7405,7056,75,1985,7105,5838,75,1996
2801009,Campo do Brito,16467,16906,175,6026,15582,12976,175,6326
2801108,Canhoba,3666,3643,40,1600,3447,2738,40,1123
2801207,Canindé de São Francisco,26334,23619,275,10755,24763,20254,275,7067
2801306,Capela,31913,28887,315,11672,31772,26390,357,9727
2801405,Carira,19091,18949,195,9799,18209,14976,194,7304
2801504,Carmópolis,14082,13400,155,4604,12483,10673,155,3502
2801603,Cedro de São João,5215,5069,60,2456,4796,4190,60,2027
2801702,Cristinápolis,15769,15689,165,6050,14986,12685,165,3881
2801900,Cumbe,3807,3590,45,1552,3543,3109,45,1316
2802007,Divina Pastora,4518,4373,50,1819,4000,3543,50,2016
2802106,Estância,61018,58241,2500,24278,55603,47880,2510,20285
2802205,Feira Nova,5285,5362,55,2576,5061,4331,57,1700
2802304,Frei Paulo,13567,13145,150,5138,13363,11926,150,4524
2802403,Gararu,10190,10227,120,4125,9869,8374,115,4161
2802502,General Maynard,3002,2755,35,1238,2689,2526,35,1316
2802601,Gracho Cardoso,5317,5111,65,2708,5604,4702,71,1933
2802700,Ilha das Flores,7602,7107,80,2741,6982,5649,80,2433
2802809,Indiaroba,15515,14874,145,4763,14387,12805,147,4376
2802908,Itabaiana,84026,76557,2400,45910,85740,72485,2519,37158
2803005,Itabaianinha,36845,35197,370,9197,33122,27992,370,9254
2803104,Itabi,4604,4495,55,1888,4421,3863,56,1810
2803203,Itaporanga d'Ajuda,30646,31517,330,10697,30189,26736,330,9731
2803302,Japaratuba,15882,15556,175,6418,14749,12944,175,7085
2803401,Japoatã,11743,11463,135,5404,11854,8554,154,3799
2803500,Lagarto,92654,91326,2500,35617,88692,76320,2510,33022
2803609,Laranjeiras,26613,26666,490,10318,25610,21246,502,11126
2803708,Macambira,6512,5893,70,3050,6348,5417,70,2884
2803807,Malhada dos Bois,3392,3303,40,1249,3048,2963,43,646
2803906,Malhador,11212,10562,120,4375,10734,8969,119,4102
2804003,Maruim,15252,14067,165,5561,13428,11125,165,5506
2804102,Moita Bonita,10146,10196,125,6166,10238,8917,138,4965
2804201,Monte Alegre de Sergipe,13481,12861,135,4570,12413,10347,135,4173
2804300,Muribeca,6889,6727,75,2367,6865,6057,75,2549
2804409,Neópolis,16129,15328,175,6760,14425,11906,175,5384
2804458,Nossa Senhora Aparecida,8043,7872,95,3712,7612,6819,111,2917
2804508,Nossa Senhora da Glória,33142,31482,1000,13943,32221,27603,968,11071
2804607,Nossa Senhora das Dores,23777,23449,245,9108,24167,19971,245,8008
2804706,Nossa Senhora de Lourdes,5747,5720,60,2845,5865,5041,53,2247
2804805,Nossa Senhora do Socorro,148039,144926,4100,52877,150785,127053,4175,49713
2804904,Pacatuba,12599,12039,130,6013,11892,10479,136,5198
2805000,Pedra Mole,2848,2670,40,1426,2631,2428,42,1302
2805109,Pedrinhas,8819,8342,90,2827,7034,5889,91,2370
2805208,Pinhão,6384,5867,65,2740,5532,4997,73,2568
2805307,Pirambu,8274,8129,80,3711,7835,7078,80,2851
2805406,Poço Redondo,29406,29473,280,7920,26992,21302,280,8606
2805505,Poço Verde,22008,21777,210,7799,19976,18117,206,8061
2805604,Porto da Folha,24957,23389,265,11727,23592,21168,268,10247
2805703,Propriá,25990,27419,255,10729,24774,20969,258,9431
2805802,Riachão do Dantas,17490,17400,185,5578,15952,13619,183,5969
2805901,Riachuelo,8535,8880,100,3490,7997,6500,100,2936
2806008,Ribeirópolis,16494,15382,200,8438,15723,13921,197,6931
2806107,Rosário do Catete,9660,9314,105,3797,8861,7545,111,3804
2806206,Salgado,17683,16524,200,7401,16832,13967,200,6158
2806305,Santa Luzia do Itanhy,12205,11779,120,5066,11620,9896,114,4116
2806404,Santana do São Francisco,6147,5758,85,2312,6110,5156,85,2351
2806503,Santa Rosa de Lima,4350,3990,35,1939,3588,3139,35,1500
2806602,Santo Amaro das Brotas,10382,9827,125,5398,9998,8978,125,4449
2806701,São Cristóvão,80478,77262,2385,31793,75664,60704,2384,25278
2806800,São Domingos,10005,9481,110,3871,8893,7769,107,3712
2806909,São Francisco,3502,3408,40,1320,2979,2613,40,1420
2807006,São Miguel do Aleixo,3663,3582,40,2049,3512,2785,54,1218
2807105,Simão Dias,36075,33183,1050,15876,35221,29668,1078,12144
2807204,Siriri,7758,6770,75,3411,6987,6150,75,2969
2807303,Telha,2915,2733,45,1321,2763,2273,46,1142
2807402,Tobias Barreto,44884,37900,1160,18089,41968,36110,1187,15527
2807501,Tomar do Geru,11845,10361,135,5262,9585,7847,139,2692
2807600,Umbaúba,22384,20188,240,5468,19882,17215,237,4682
