codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,898,2037,1960,30,747,16
2800209,Aquidabã,19796,19145,210,7560,17806,16228,212,8870,543
2800308,Aracaju,617927,609877,12715,344553,566020,513630,12911,308936,20658
2800407,Arauá,9040,9226,100,5477,9580,8523,102,4415,394
2800506,Areia Branca,16496,16771,185,8359,16467,15399,198,7818,319
2800605,Barra dos Coqueiros,26771,28355,845,17091,27505,23885,967,12791,652
2800670,Boquim,24448,23827,255,13396,21871,20336,252,11759,833
2800704,Brejo Grande,7405,7556,75,2617,7272,6551,75,2637,34
2801009,Campo do Brito,16627,17856,175,7914,15786,13892,175,7843,647
2801108,Canhoba,3666,3843,40,1920,3496,3044,40,1509,36
2801207,Canindé de São Francisco,26334,25279,275,12950,25238,22284,275,9916,397
2801306,Capela,31913,30607,315,14297,32131,28342,357,12923,838
2801405,Carira,19091,20099,195,11592,18456,16252,194,8750,520
2801504,Carmópolis,14082,14290,155,5773,12768,11611,155,4761,195
2801603,Cedro de São João,5215,5299,60,2937,4846,4494,60,2378,261
2801702,Cristinápolis,15769,16699,165,7397,15363,13765,165,5264,80
2801900,Cumbe,3807,3760,45,1882,3562,3317,45,1607,182
2802007,Divina Pastora,4518,4653,50,2203,4112,4016,50,2443,123
2802106,Estância,61018,61421,2500,29613,56723,53165,2510,27053,1413
2802205,Feira Nova,5285,5632,55,3010,5130,4561,57,2047,13
2802304,Frei Paulo,13567,13845,150,6358,13587,12647,150,5734,242
2802403,Gararu,10190,10757,120,5345,9948,9149,115,5256,319
2802502,General Maynard,3002,2925,35,1835,2644,2501,116,1692,138
2802601,Gracho Cardoso,5317,5461,65,3324,5678,5065,71,2753,245
2802700,Ilha das Flores,7602,7647,80,3558,7204,6325,80,3146,202
2802809,Indiaroba,15515,16284,145,6099,14916,14122,147,5921,330
2802908,Itabaiana,84026,81561,2400,53385,87139,77199,2519,44707,2504
2803005,Itabaianinha,36845,37937,370,12412,33644,29199,370,10918,368
2803104,Itabi,4604,4695,55,2295,4495,4121,56,2147,261
2803203,Itaporanga d'Ajuda,30646,33237,330,13297,30535,28438,330,14531,244
2803302,Japaratuba,15882,16482,175,7867,14916,13940,175,8747,584
2803401,Japoatã,11743,12163,135,7049,12379,10282,154,5734,249
2803500,Lagarto,92654,95726,2500,43911,89531,80107,2510,40037,1756
2803609,Laranjeiras,26613,28176,490,12476,25888,22622,502,12812,301
2803708,Macambira,6512,6203,70,3638,6407,5836,70,3376,341
2803807,Malhada dos Bois,3392,3503,40,1524,3071,3069,43,1001,12
2803906,Malhador,11212,11132,120,5357,10819,9541,119,4855,95
2804003,Maruim,15252,14977,165,6831,13590,11974,165,6676,524
2804102,Moita Bonita,10146,10756,125,7436,10349,9619,138,5986,599
2804201,Monte Alegre de Sergipe,13481,13661,135,5705,12693,11304,135,5429,321
2804300,Muribeca,6889,7279,75,2957,6950,6515,75,3353,84
2804409,Neópolis,16129,16198,175,8245,14718,12803,175,6797,277
2804458,Nossa Senhora Aparecida,8043,8302,95,4440,7989,7284,111,3570,144
2804508,Nossa Senhora da Glória,33142,33260,1000,16825,33015,29768,968,15257,965
2804607,Nossa Senhora das Dores,23777,24689,245,11223,24568,20918,245,9638,425
2804706,Nossa Senhora de Lourdes,5747,6030,60,3362,5917,5338,53,2743,258
2804805,Nossa Senhora do Socorro,148039,151306,4100,66011,154266,135996,4175,68194,1871
2804904,Pacatuba,12599,12899,130,7121,12010,11526,136,6345,425
2805000,Pedra Mole,2848,2820,40,1690,2655,2574,42,1468,105
2805109,Pedrinhas,8819,8802,90,3592,7121,6237,91,3061,159
2805208,Pinhão,6384,6167,65,3283,5569,5237,73,2914,306
2805307,Pirambu,8274,8629,80,4400,7978,7463,80,3595,253
2805406,Poço Redondo,29406,32187,280,10562,27725,23864,280,11236,517
2805505,Poço Verde,22008,22889,210,9786,20160,19040,206,9886,407
2805604,Porto da Folha,24957,24829,265,13942,23914,22692,268,12903,817
2805703,Propriá,25990,29171,255,13027,25114,22940,258,11190,629
2805802,Riachão do Dantas,17490,18300,185,7369,16239,14526,183,7431,106
2805901,Riachuelo,8535,9420,100,4258,8113,7423,100,3482,148
2806008,Ribeirópolis,16494,16142,200,9993,15804,14528,197,7968,556
2806107,Rosário do Catete,9660,10054,105,4607,9031,8022,111,4702,222
2806206,Salgado,17683,17414,200,9000,17037,14919,200,7753,399
2806305,Santa Luzia do Itanhy,12205,12579,120,6102,11877,10902,114,5159,206
2806404,Santana do São Francisco,6147,6078,85,3102,6231,5838,85,2899,39
2806503,Santa Rosa de Lima,4350,4400,35,2264,3617,3406,35,1725,112
2806602,Santo Amaro das Brotas,10382,10477,125,6335,10092,9493,125,5519,407
2806701,São Cristóvão,80478,81502,2385,41129,76774,66020,2384,34372,658
2806800,São Domingos,10005,10021,110,5071,9033,8255,107,4609,461
2806909,São Francisco,3502,3578,40,1605,3008,2821,40,1862,142
2807006,São Miguel do Aleixo,3663,3752,40,2364,3593,3078,54,1688,92
2807105,Simão Dias,36075,34863,1050,19221,35617,31074,1078,15917,798
2807204,Siriri,7758,7270,75,4115,7092,6743,75,3831,252
2807303,Telha,2915,2883,45,1569,2790,2519,46,1321,142
2807402,Tobias Barreto,44884,40110,1160,22345,43285,37968,1187,18658,687
2807501,Tomar do Geru,11845,11021,135,6288,9752,8195,139,3369,77
2807600,Umbaúba,22384,21550,240,7369,20327,19177,237,6700,173
