codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,1004,2037,1961,30,799,35
2800209,Aquidabã,19796,19145,210,8706,17820,16308,212,8986,704
2800308,Aracaju,617927,609877,12715,353109,566020,516967,12911,313646,45287
2800407,Arauá,9040,9226,100,6061,9583,8547,102,4435,478
2800506,Areia Branca,16496,16771,185,9106,16486,15427,198,7906,431
2800605,Barra dos Coqueiros,26771,28355,845,18724,27562,24129,967,13136,1002
2800670,Boquim,24448,23827,255,13721,21881,20440,252,11907,1133
2800704,Brejo Grande,7405,7556,75,2962,7275,6643,75,2686,86
2801009,Campo do Brito,16627,17856,175,9288,15792,13935,175,7913,663
2801108,Canhoba,3666,3843,40,2115,3497,3048,40,1514,86
2801207,Canindé de São Francisco,26334,25279,275,13757,25252,22405,275,10035,538
2801306,Capela,31913,30607,315,15809,32155,28515,357,13328,1003
2801405,Carira,19091,20099,195,12362,18462,16330,194,8867,648
2801504,Carmópolis,14082,14290,155,6171,12777,11654,155,4878,256
2801603,Cedro de São João,5215,5299,60,3254,4847,4504,60,2400,349
2801702,Cristinápolis,15769,16699,165,8004,15406,13863,165,5373,138
2801900,Cumbe,3807,3760,45,2116,3565,3334,45,1629,190
2802007,Divina Pastora,4518,4653,50,2707,4112,4032,50,2488,186
2802106,Estância,61018,61421,2500,32369,56745,53589,2510,27781,2659
2802205,Feira Nova,5285,5632,55,3266,5134,4601,57,2061,16
2802304,Frei Paulo,13567,13845,150,7065,13599,12712,150,5822,453
2802403,Gararu,10190,10757,120,5885,9952,9206,115,5345,343
2802502,General Maynard,3002,2925,35,2067,2644,2501,116,1692,275
2802601,Gracho Cardoso,5317,5461,65,3675,5692,5084,71,2833,286
2802700,Ilha das Flores,7602,7647,80,3920,7216,6362,80,3172,222
2802809,Indiaroba,15515,16284,145,6630,14997,14204,147,6039,403
2802908,Itabaiana,84026,81561,2400,57394,87246,77602,2519,45400,4218
2803005,Itabaianinha,36845,37937,370,13772,33704,29382,370,11136,447
2803104,Itabi,4604,4695,55,2579,4497,4131,56,2172,282
2803203,Itaporanga d'Ajuda,30646,33237,330,14494,30580,28653,330,14861,500
2803302,Japaratuba,15882,16482,175,8733,14943,14042,175,8918,776
2803401,Japoatã,11743,12163,135,7617,12446,10409,154,5977,309
2803500,Lagarto,92654,95726,2500,48627,89605,80524,2510,40717,2436
2803609,Laranjeiras,26613,28176,490,13259,25898,22717,502,12945,695
2803708,Macambira,6512,6203,70,4039,6408,5839,70,3407,411
2803807,Malhada dos Bois,3392,3503,40,1663,3071,3069,43,1009,15
2803906,Malhador,11212,11132,120,5891,10826,9602,119,4911,379
2804003,Maruim,15252,14977,165,7371,13606,12045,165,6780,589
2804102,Moita Bonita,10146,10756,125,7160,10353,9666,138,6048,695
