codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,642,232,0,0,539,213,0,0
2800209,Aquidabã,4544,2314,0,0,3420,2014,0,0
2800308,Aracaju,149225,66350,0,0,134969,48575,0,0
2800407,Arauá,1812,941,0,0,1695,964,0,0
2800506,Areia Branca,3071,1521,0,0,2430,1330,0,0
2800605,Barra dos Coqueiros,5235,3375,0,0,4416,2491,0,0
2800670,Boquim,5631,3106,0,0,4548,2628,0,0
2800704,Brejo Grande,2168,548,0,0,1991,432,0,0
2801009,Campo do Brito,3660,2204,0,0,3051,2007,0,0
2801108,Canhoba,733,408,0,0,740,346,0,0
2801207,Canindé de São Francisco,4095,1975,0,0,4075,1869,0,0
2801306,Capela,6518,2473,0,0,5392,1936,0,0
2801405,Carira,4292,2622,0,0,4026,2464,0,0
2801504,Carmópolis,2091,1011,0,0,1834,675,0,0
2801603,Cedro de São João,1313,717,0,0,1118,746,0,0
2801702,Cristinápolis,2767,1587,0,0,2026,1349,0,0
2801900,Cumbe,1099,474,0,0,915,455,0,0
2802007,Divina Pastora,898,467,0,0,723,441,0,0
2802106,Estância,13773,5878,0,0,12113,5029,0,0
2802205,Feira Nova,1043,623,0,0,775,460,0,0
2802304,Frei Paulo,2995,1675,0,0,2692,1481,0,0
2802403,Gararu,2068,1253,0,0,1694,1082,0,0
2802502,General Maynard,633,353,0,0,679,330,0,0
2802601,Gracho Cardoso,1303,813,0,0,1297,771,0,0
2802700,Ilha das Flores,1747,691,0,0,1548,642,0,0
2802809,Indiaroba,2562,1312,0,0,1899,1042,0,0
2802908,Itabaiana,17987,8301,0,0,16802,7460,0,0
2803005,Itabaianinha,6741,3431,0,0,6687,3020,0,0
2803104,Itabi,1208,703,0,0,1001,664,0,0
2803203,Itaporanga d'Ajuda,5381,3116,0,0,4643,2377,0,0
2803302,Japaratuba,3995,2229,0,0,3064,1898,0,0
2803401,Japoatã,2930,1254,0,0,2432,1088,0,0
2803500,Lagarto,23390,10990,0,0,19987,9233,0,0
2803609,Laranjeiras,7260,2165,0,0,5852,1863,0,0
2803708,Macambira,1500,924,0,0,1279,774,0,0
2803807,Malhada dos Bois,622,367,0,0,521,258,0,0
2803906,Malhador,2321,1241,0,0,1941,1144,0,0
2804003,Maruim,2581,1481,0,0,2156,1247,0,0
2804102,Moita Bonita,2585,1705,0,0,2467,1378,0,0
2804201,Monte Alegre de Sergipe,2268,1434,0,0,1697,1324,0,0
2804300,Muribeca,1361,671,0,0,1437,538,0,0
2804409,Neópolis,3716,1905,0,0,2726,1589,0,0
2804458,Nossa Senhora Aparecida,2000,1310,0,0,1820,1257,0,0
2804508,Nossa Senhora da Glória,6396,3031,0,0,5433,2458,0,0
2804607,Nossa Senhora das Dores,5069,3078,0,0,4342,2607,0,0
2804706,Nossa Senhora de Lourdes,1332,718,0,0,1167,628,0,0
2804805,Nossa Senhora do Socorro,27100,15845,0,0,21366,12181,0,0
2804904,Pacatuba,2254,1179,0,0,2316,1096,0,0
2805000,Pedra Mole,654,379,0,0,643,356,0,0
2805109,Pedrinhas,1653,843,0,0,1289,751,0,0
2805208,Pinhão,1421,891,0,0,1081,848,0,0
2805307,Pirambu,1801,985,0,0,1528,838,0,0
2805406,Poço Redondo,5576,3126,0,0,4482,2944,0,0
2805505,Poço Verde,5381,2771,0,0,4305,2325,0,0
2805604,Porto da Folha,5472,2947,0,0,4923,3059,0,0
2805703,Propriá,5759,2503,0,0,4724,2271,0,0
2805802,Riachão do Dantas,4018,2063,0,0,3634,1908,0,0
2805901,Riachuelo,1825,914,0,0,1442,830,0,0
2806008,Ribeirópolis,3998,2443,0,0,3929,2300,0,0
2806107,Rosário do Catete,1709,954,0,0,1643,873,0,0
2806206,Salgado,3672,2117,0,0,3139,2014,0,0
2806305,Santa Luzia do Itanhy,4466,895,0,0,3641,676,0,0
2806503,Santa Rosa de Lima,878,473,0,0,658,444,0,0
2806404,Santana do São Francisco,992,552,0,0,1110,518,0,0
2806602,Santo Amaro das Brotas,2148,1243,0,0,2110,815,0,0
2806701,São Cristóvão,14697,6782,0,0,12307,5919,0,0
2806800,São Domingos,2171,1306,0,0,1889,1224,0,0
2806909,São Francisco,704,378,0,0,591,333,0,0
2807006,São Miguel do Aleixo,839,529,0,0,704,432,0,0
2807105,Simão Dias,8455,4490,0,0,6781,3906,0,0
2807204,Siriri,1758,973,0,0,1466,897,0,0
2807303,Telha,589,339,0,0,568,315,0,0
2807402,Tobias Barreto,10363,5837,0,0,9021,5135,0,0
2807501,Tomar do Geru,2206,1136,0,0,1636,982,0,0
2807600,Umbaúba,4098,2028,0,0,3541,1872,0,0
