codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,1549,1020,30,0,1504,677,30,0
2800209,Aquidabã,13953,6942,210,0,11637,4207,210,0
2800308,Aracaju,448205,210366,12715,0,388824,141036,12037,0
2800407,Arauá,6203,3014,100,0,5576,2445,102,0
2800506,Areia Branca,11624,5715,185,0,11597,3967,198,0
2800605,Barra dos Coqueiros,18877,8143,845,0,18107,4821,967,0
2800670,Boquim,17319,8039,255,0,15139,5836,252,0
2800704,Brejo Grande,5028,3065,75,0,4578,1970,75,0
2801009,Campo do Brito,11650,5508,175,0,10727,3777,175,0
2801108,Canhoba,2619,1590,40,0,2353,731,40,0
2801207,Canindé de São Francisco,17301,5871,275,0,15696,4908,275,0
2801306,Capela,21885,8846,315,0,18416,5654,357,0
2801405,Carira,13869,6511,195,0,13070,4249,194,0
2801504,Carmópolis,9891,3881,155,0,8243,1835,155,0
2801603,Cedro de São João,3816,2027,60,0,3306,1377,60,0
2801702,Cristinápolis,10717,5111,165,0,8373,2645,165,0
2801900,Cumbe,2706,1623,45,0,2530,1097,45,0
2802007,Divina Pastora,3126,1696,50,0,2731,898,50,0
2802106,Estância,43632,19175,2500,0,37928,13188,2510,0
2802205,Feira Nova,3571,1702,55,0,3133,1064,57,0
2802304,Frei Paulo,10071,4397,150,0,9831,3543,150,0
2802403,Gararu,7272,3684,120,0,6593,2178,115,0
2802502,General Maynard,2140,1155,35,0,1971,845,35,0
2802601,Gracho Cardoso,3791,1923,65,0,3742,1501,71,0
2802700,Ilha das Flores,5153,2805,80,0,4444,1720,80,0
2802809,Indiaroba,10359,4623,145,0,8905,2541,147,0
2802908,Itabaiana,60365,24141,2400,0,57796,19326,2430,0
2803005,Itabaianinha,25629,10151,370,0,21484,7958,370,0
2803104,Itabi,3359,1764,55,0,3126,1169,56,0
2803203,Itaporanga d'Ajuda,21275,8611,330,0,19455,6234,330,0
2803302,Japaratuba,12136,5913,175,0,10144,3606,175,0
2803401,Japoatã,8240,4236,135,0,7366,2430,154,0
2803500,Lagarto,68910,31538,2500,0,65672,23828,2510,0
2803609,Laranjeiras,19176,9646,490,0,19565,7097,502,0
2803708,Macambira,4578,2262,70,0,4393,1698,70,0
2803807,Malhada dos Bois,2287,1214,40,0,1645,391,43,0
2803906,Malhador,8076,3864,120,0,7388,2212,119,0
2804003,Maruim,10241,3798,165,0,9264,2902,165,0
2804102,Moita Bonita,7666,4083,125,0,7526,3310,138,0
2804201,Monte Alegre de Sergipe,9039,4078,135,0,6898,2248,135,0
2804300,Muribeca,4904,2566,75,0,4732,1711,75,0
2804409,Neópolis,12096,5854,175,0,9477,3087,170,0
2804458,Nossa Senhora Aparecida,5927,2948,95,0,5868,2200,111,0
2804508,Nossa Senhora da Glória,23099,8994,1000,0,20763,6250,968,0
2804607,Nossa Senhora das Dores,16983,7859,245,0,14948,4759,263,0
2804706,Nossa Senhora de Lourdes,4109,2174,60,0,3997,1389,53,0
2804805,Nossa Senhora do Socorro,112166,40152,4100,0,101109,25639,4175,0
2804904,Pacatuba,8701,3954,130,0,8088,2745,136,0
2805000,Pedra Mole,2117,1111,40,0,1958,881,42,0
2805109,Pedrinhas,6042,3006,90,0,4885,1697,91,0
2805208,Pinhão,4307,2236,65,0,4036,1347,73,0
2805307,Pirambu,5738,3138,80,0,5324,1936,80,0
2805406,Poço Redondo,20324,7661,280,0,16806,6305,280,0
2805505,Poço Verde,15931,7680,210,0,13737,4566,206,0
2805604,Porto da Folha,17564,8470,265,0,16376,6418,268,0
2805703,Propriá,19119,8605,255,0,17714,6897,258,0
2805802,Riachão do Dantas,12520,6175,185,0,11310,4307,183,0
2805901,Riachuelo,6280,3021,100,0,5652,1633,100,0
2806008,Ribeirópolis,12444,5608,200,0,11749,4618,197,0
2806107,Rosário do Catete,6914,3073,105,0,6402,2018,111,0
2806206,Salgado,13014,5687,200,0,11902,3657,200,0
2806305,Santa Luzia do Itanhy,8738,6247,120,0,8190,3873,112,0
2806503,Santa Rosa de Lima,2465,1608,35,0,2399,917,35,0
2806404,Santana do São Francisco,4594,1947,85,0,4169,1419,85,0
2806602,Santo Amaro das Brotas,7333,4013,125,0,6794,2760,125,0
2806701,São Cristóvão,57164,23517,2385,0,51048,13591,2384,0
2806800,São Domingos,7081,3412,110,0,6087,2514,107,0
2806909,São Francisco,2392,1217,40,0,1925,707,40,0
2807006,São Miguel do Aleixo,2602,1526,40,0,2356,993,54,0
2807105,Simão Dias,26631,11883,1050,0,24579,7362,1070,0
2807204,Siriri,5400,2797,75,0,4785,1980,75,0
2807303,Telha,2045,1062,45,0,1933,800,46,0
2807402,Tobias Barreto,33932,13713,1160,0,30703,10384,1187,0
2807501,Tomar do Geru,8575,4010,135,0,6370,1988,139,0
2807600,Umbaúba,15683,6644,240,0,13514,4069,237,0
