codigo_municipio,nome_municipio,total_dose1,total_dose2,total_dose_unica,total_dose_reforco
280010,AMPARO DE SAO FRANCISCO,42,0,0,0
280020,AQUIDABA,241,0,0,0
280030,ARACAJU,9050,0,0,0
280040,ARAUA,72,0,0,0
280050,AREIA BRANCA,171,0,0,0
280060,BARRA DOS COQUEIROS,292,0,0,0
280067,BOQUIM,360,0,0,0
280070,BREJO GRANDE,52,0,0,0
280100,CAMPO DO BRITO,188,0,0,0
280110,CANHOBA,30,0,0,0
280120,CANINDE DE SAO FRANCISCO,204,0,0,0
280130,CAPELA,347,0,0,0
280140,CARIRA,100,0,0,0
280150,CARMOPOLIS,134,0,0,0
280160,CEDRO DE SAO JOAO,92,0,0,0
280170,CRISTINAPOLIS,189,0,0,0
280190,CUMBE,58,0,0,0
280200,DIVINA PASTORA,95,0,0,0
280210,ESTANCIA,616,0,0,0
280220,FEIRA NOVA,48,0,0,0
280230,FREI PAULO,145,0,0,0
280240,GARARU,82,0,0,0
280250,GENERAL MAYNARD,75,0,0,0
280260,GRACHO CARDOSO,58,0,0,0
280270,ILHA DAS FLORES,60,0,0,0
280280,INDIAROBA,128,0,0,0
280290,ITABAIANA,1363,0,0,0
280300,ITABAIANINHA,338,0,0,0
280310,ITABI,45,0,0,0
280320,ITAPORANGA D'AJUDA,326,0,0,0
280330,JAPARATUBA,187,0,0,0
280340,JAPOATA,103,0,0,0
280350,LAGARTO,1769,0,0,0
280360,LARANJEIRAS,193,0,0,0
280370,MACAMBIRA,60,0,0,0
280380,MALHADA DOS BOIS,40,0,0,0
280390,MALHADOR,98,0,0,0
280400,MARUIM,177,0,0,0
280410,MOITA BONITA,99,0,0,0
280420,MONTE ALEGRE DE SERGIPE,115,0,0,0
280430,MURIBECA,72,0,0,0
280440,NEOPOLIS,141,0,0,0
280445,NOSSA SENHORA APARECIDA,81,0,0,0
280450,NOSSA SENHORA DA GLORIA,251,0,0,0
280460,NOSSA SENHORA DAS DORES,286,0,0,0
280470,NOSSA SENHORA DE LOURDES,71,0,0,0
280480,NOSSA SENHORA DO SOCORRO,1052,0,0,0
280490,PACATUBA,95,0,0,0
280500,PEDRA MOLE,36,0,0,0
280510,PEDRINHAS,42,0,0,0
280520,PINHAO,63,0,0,0
280530,PIRAMBU,122,0,0,0
280540,POCO REDONDO,315,0,0,0
280550,POCO VERDE,196,0,0,0
280560,PORTO DA FOLHA,416,0,0,0
280570,PROPRIA,444,0,0,0
280580,RIACHAO DO DANTAS,245,0,0,0
280590,RIACHUELO,184,0,0,0
280600,RIBEIROPOLIS,274,0,0,0
280610,ROSARIO DO CATETE,141,0,0,0
280620,SALGADO,149,0,0,0
280630,SANTA LUZIA DO ITANHY,94,0,0,0
280640,SANTANA DO SAO FRANCISCO,68,0,0,0
280650,SANTA ROSA DE LIMA,58,0,0,0
280660,SANTO AMARO DAS BROTAS,127,0,0,0
280670,SAO CRISTOVAO,709,0,0,0
280680,SAO DOMINGOS,70,0,0,0
280690,SAO FRANCISCO,35,0,0,0
280700,SAO MIGUEL DO ALEIXO,69,0,0,0
280710,SIMAO DIAS,511,0,0,0
280720,SIRIRI,101,0,0,0
280730,TELHA,56,0,0,0
280740,TOBIAS BARRETO,701,0,0,0
280750,TOMAR DO GERU,97,0,0,0
280760,UMBAUBA,201,0,0,0
