codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
280010,Amparo de São Francisco,1739,1549,30,100,1690,1280,30,74
280020,Aquidabã,16105,13993,210,774,15098,8604,212,290
280030,Aracaju,507891,458402,12715,31745,498787,329883,12589,15727
280040,Arauá,7180,6243,100,414,7474,4949,102,178
280050,Areia Branca,13118,11348,185,618,13404,8363,198,256
280060,Barra dos Coqueiros,21263,18573,845,1110,22594,11794,967,277
280067,Boquim,19964,16811,255,1207,18194,10578,252,416
280070,Brejo Grande,5602,5012,75,224,5483,3222,75,64
280100,Campo do Brito,13405,11266,175,1138,13136,7291,175,490
280110,Canhoba,2920,2635,40,169,2685,1731,40,32
280120,Canindé de São Francisco,20093,16359,275,835,19406,9842,275,357
280130,Capela,25019,21899,315,1118,22134,11422,357,251
280140,Carira,15561,12939,195,1011,15625,9020,194,523
280150,Carmópolis,11006,8941,155,385,10174,4581,155,51
280160,Cedro de São João,4252,3697,60,278,4091,2656,60,210
280170,Cristinápolis,12489,10723,165,756,11468,5030,165,66
280190,Cumbe,3053,2674,45,185,3031,2218,45,131
280200,Divina Pastora,3512,3018,50,215,3290,2224,50,105
280210,Estância,49591,41765,2500,2501,46654,24857,2510,365
280220,Feira Nova,4066,3544,55,240,3763,2550,57,57
280230,Frei Paulo,10796,9373,150,640,11131,7567,150,377
280240,Gararu,8316,7331,120,484,8285,5004,115,137
280250,General Maynard,2334,2065,35,145,2305,1615,35,127
280260,Gracho Cardoso,4311,3747,65,360,4397,2113,71,0
280270,Ilha das Flores,5839,5103,80,284,5437,3439,80,114
280280,Indiaroba,11674,9619,145,481,11654,5722,147,136
280290,Itabaiana,67472,57019,2400,4414,68639,42220,2519,2196
280300,Itabaianinha,29542,24379,370,1417,29080,16388,370,419
280310,Itabi,3805,3329,55,269,3696,2430,56,86
280320,Itaporanga d'Ajuda,24314,22017,330,1081,23851,12276,330,528
280330,Japaratuba,12982,10720,175,731,12669,7273,175,256
280340,Japoatã,9277,7928,135,363,9389,5329,154,178
280350,Lagarto,77280,66928,2500,5116,78166,49820,2510,1874
280360,Laranjeiras,20869,19265,490,908,22482,15014,502,313
280370,Macambira,5174,4377,70,456,5224,3751,70,255
280380,Malhada dos Bois,2605,2467,40,173,2505,1217,43,0
280390,Malhador,9212,7736,120,482,8744,4747,119,284
280400,Maruim,11851,9925,165,638,11223,6177,165,310
280410,Moita Bonita,8545,7482,125,646,8791,6012,138,379
280420,Monte Alegre de Sergipe,10492,8783,135,490,10087,5089,135,95
280430,Muribeca,5562,4993,75,244,5893,3380,75,88
280440,Neópolis,13133,11372,175,678,12054,6171,175,212
280445,Nossa Senhora Aparecida,6659,5911,95,450,6581,4336,111,132
280450,Nossa Senhora da Glória,26198,21759,1000,1741,25377,16042,968,406
280460,Nossa Senhora das Dores,19506,16381,245,1374,19632,10947,245,391
280470,Nossa Senhora de Lourdes,4659,4120,60,259,4875,2880,53,92
280480,Nossa Senhora do Socorro,128245,109316,4100,4444,129110,60523,4175,2814
280490,Pacatuba,9793,7965,130,380,9788,6195,136,260
280500,Pedra Mole,2252,1977,40,172,2161,1631,42,108
280510,Pedrinhas,7067,6264,90,291,6107,3423,91,16
280520,Pinhão,4951,4349,65,277,4685,3002,73,103
280530,Pirambu,6380,5478,80,521,6377,3837,80,193
280540,Poço Redondo,22365,18230,280,1058,21943,10586,280,551
280550,Poço Verde,18223,15577,210,871,16972,10200,206,189
280560,Porto da Folha,19679,16512,265,1134,19052,11814,268,579
280570,Propriá,21264,18947,255,1165,21410,13883,258,694
280580,Riachão do Dantas,14380,11784,185,822,13681,8352,183,234
280590,Riachuelo,6848,6103,100,364,6576,4077,100,166
280600,Ribeirópolis,13830,11930,200,968,13501,8371,197,652
280610,Rosário do Catete,7715,6898,105,441,7412,4975,111,215
280620,Salgado,14378,12082,200,903,14556,8334,200,238
280630,Santa Luzia do Itanhy,9510,8937,120,358,9605,6255,114,91
280640,Santana do São Francisco,5181,3162,85,205,4938,2811,85,104
280650,Santa Rosa de Lima,2853,3705,35,179,2920,1946,35,128
280660,Santo Amaro das Brotas,8434,7454,125,511,8313,4929,125,237
280670,São Cristóvão,63900,55682,2385,2018,59764,22535,2384,0
280680,São Domingos,8189,7028,110,449,7118,4562,107,121
280690,São Francisco,2784,2400,40,128,2471,1499,40,87
280700,São Miguel do Aleixo,2971,2660,40,269,2950,1928,54,103
280710,Simão Dias,30228,27395,1050,1719,29187,16782,1078,428
280720,Siriri,5908,5172,75,354,5614,3860,75,309
280730,Telha,2331,2027,45,161,2252,1439,46,59
280740,Tobias Barreto,37078,30122,1160,2036,37285,22640,1187,580
280750,Tomar do Geru,9965,8279,135,402,8266,4889,139,39
280760,Umbaúba,18013,15151,240,802,17000,8775,237,125
